Name,Height,Weight,Position,Height (in.)
Demetrius Jackson,6-1,201.0,G,73
Darius Morris,6-4,190.0,G,76
Josh Smith,6-9,225.0,F,81
Danny Granger,6-9,222.0,F,81
Dennis Schroder,6-1,172.0,G,73
Rudy Gobert,7-1,245.0,C,85
Kendall Marshall,6-4,200.0,G,76
Rasheed Wallace,6-10,225.0,F,82
Randy Foye,6-4,213.0,G,76
Lorenzo Brown,6-5,189.0,G,77
Bobby Portis,6-11,230.0,F,83
Carlos Delfino,6-6,230.0,G,78
Mickell Gladness,6-11,220.0,C,83
Francisco Garcia,6-7,195.0,F,79
Malcolm Brogdon,6-5,215.0,G,77
Joe Young,6-2,180.0,G,74
Rodrigue Beaubois,6-0,170.0,G,72
Shayne Whittington,6-11,250.0,F,83
Jeff Green,6-9,235.0,F,81
Gary Neal,6-4,210.0,G,76
Jrue Holiday,6-4,205.0,G,76
Solomon Jones,6-10,230.0,F,82
Semaj Christon,6-3,190.0,G,75
Cliff Alexander,6-8,245.0,F,80
Cody Zeller,7-0,240.0,C,84
Taj Gibson,6-9,225.0,F,81
Cleanthony Early,6-8,210.0,F,80
Maurice Evans,6-5,220.0,G,77
Damien Wilkins,6-6,225.0,F,78
Rudy Fernandez,6-6,185.0,G,78
Tobias Harris,6-9,235.0,F,81
Jeremy Lin,6-3,200.0,G,75
Victor Claver,6-9,224.0,F,81
Jan Vesely,6-11,240.0,F,83
Nemanja Bjelica,6-10,240.0,F,82
Guerschon Yabusele,6-7,260.0,F,79
Brian Roberts,6-1,173.0,G,73
Brandon Jennings,6-1,170.0,G,73
Thomas Robinson,6-10,237.0,F,82
Frank Ntilikina,6-5,190.0,G,77
Antawn Jamison,6-8,223.0,F,80
Andrea Bargnani,7-0,245.0,F,84
Sergio Rodriguez,6-3,176.0,G,75
Kelly Oubre,6-7,205.0,F,79
Jonathan Isaac,6-10,210.0,F,82
Ersan Ilyasova,6-10,235.0,F,82
Jordan Clarkson,6-5,194.0,G,77
Nerlens Noel,6-11,228.0,C,83
Rodney Carney,6-7,205.0,F,79
Shawn Marion,6-7,220.0,F,79
Pierre Jackson,5-10,180.0,G,70
Chasson Randle,6-2,185.0,G,74
Omri Casspi,6-9,225.0,F,81
Steve Blake,6-3,172.0,G,75
Ekpe Udoh,6-10,240.0,C,82
Linas Kleiza,6-8,245.0,F,80
Marquese Chriss,6-10,233.0,F,82
Justin Anderson,6-6,228.0,G,78
Paul Pierce,6-7,235.0,F,79
Brook Lopez,7-0,275.0,C,84
Dirk Nowitzki,7-0,245.0,F,84
