"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"alaa abdelnaby",1991,1995,"F-C","6-10",240,"June 24, 1968","Duke University"
"zaid abdul aziz",1969,1978,"C-F","6-9",235,"April 7, 1946","Iowa State University"
"kareem abdul jabbar",1970,1989,"C","7-2",225,"April 16, 1947","University of California, Los Angeles"
"mahmoud abdul rauf",1991,2001,"G","6-1",162,"March 9, 1969","Louisiana State University"
"tariq abdul wahad",1998,2003,"F","6-6",223,"November 3, 1974","University of Michigan, San Jose State University"
"shareef abdur rahim",1997,2008,"F","6-9",225,"December 11, 1976","University of California"
"tom abernethy",1977,1981,"F","6-7",220,"May 6, 1954","Indiana University"
"forest able",1957,1957,"G","6-3",180,"July 27, 1932","Western Kentucky University"
"john abramovic",1947,1948,"F","6-3",195,"February 9, 1919","Salem International University"
"alex abrines",2017,2018,"G-F","6-6",190,"August 1, 1993",""
"alex acker",2006,2009,"G","6-5",185,"January 21, 1983","Pepperdine University"
"don ackerman",1954,1954,"G","6-0",183,"September 4, 1930","Long Island University"
"mark acres",1988,1993,"F-C","6-11",220,"November 15, 1962","Oral Roberts University"
"bud acton",1968,1968,"F","6-6",210,"January 11, 1942","Hillsdale College"
"quincy acy",2013,2018,"F","6-7",240,"October 6, 1990","Baylor University"
"alvan adams",1976,1988,"C-F","6-9",210,"July 19, 1954","University of Oklahoma"
"don adams",1971,1977,"F","6-6",210,"November 27, 1947","Northwestern University"
"george adams",1973,1975,"F-G","6-5",210,"May 15, 1949","Gardner-Webb University"
"hassan adams",2007,2009,"G","6-4",220,"June 20, 1984","University of Arizona"
"jordan adams",2015,2016,"G","6-5",209,"July 8, 1994","University of California, Los Angeles"
"michael adams",1986,1996,"G","5-10",162,"January 19, 1963","Boston College"
"steven adams",2014,2018,"C","7-0",255,"July 20, 1993","University of Pittsburgh"
"rafael addison",1987,1997,"F-G","6-7",215,"July 22, 1964","Syracuse University"
"bam adebayo",2018,2018,"C-F","6-10",243,"July 18, 1997","University of Kentucky"
"rick adelman",1969,1975,"G","6-1",175,"June 16, 1946","Loyola Marymount University"
"jeff adrien",2011,2015,"F","6-7",245,"February 10, 1986","University of Connecticut"
"arron afflalo",2008,2018,"G","6-5",210,"October 15, 1985","University of California, Los Angeles"
"maurice ager",2007,2011,"G","6-5",202,"February 9, 1984","Michigan State University"
"mark aguirre",1982,1994,"F-G","6-6",232,"December 10, 1959","DePaul University"
"blake ahearn",2008,2012,"G","6-2",190,"May 27, 1984","Missouri State University"
"danny ainge",1982,1995,"G","6-4",175,"March 17, 1959","Brigham Young University"
"matthew aitch",1968,1968,"F","6-7",230,"September 21, 1944","Michigan State University"
"alexis ajinca",2009,2017,"C","7-2",248,"May 6, 1988",""
"henry akin",1967,1969,"C-F","6-10",225,"July 31, 1944","Morehead State University"
"josh akognon",2013,2013,"G","5-11",185,"February 10, 1986","Washington State University, California State University, Fullerton"
"solomon alabi",2011,2012,"C","7-1",251,"March 21, 1988","Florida State University"
"mark alarie",1987,1991,"F","6-8",217,"December 11, 1963","Duke University"
"gary alcorn",1960,1961,"C","6-9",225,"October 8, 1936","California State University, Fresno"
"furkan aldemir",2015,2015,"F-C","6-10",240,"August 9, 1991",""
"cole aldrich",2011,2018,"C","6-11",250,"October 31, 1988","University of Kansas"
"lamarcus aldridge",2007,2018,"F-C","6-11",260,"July 19, 1985","University of Texas at Austin"
"chuck aleksinas",1985,1985,"C","6-11",260,"February 26, 1959","University of Kentucky, University of Connecticut"
"cliff alexander",2016,2016,"F","6-8",245,"November 16, 1995","University of Kansas"
"cory alexander",1996,2005,"G","6-1",185,"June 22, 1973","University of Virginia"
"courtney alexander",2001,2003,"G","6-5",205,"April 27, 1977","University of Virginia, California State University, Fresno"
"gary alexander",1994,1994,"F","6-7",240,"November 1, 1969","University of South Florida"
"joe alexander",2009,2010,"F","6-8",230,"December 26, 1986","West Virginia University"
"victor alexander",1992,2002,"C-F","6-9",265,"August 31, 1969","Iowa State University"
"steve alford",1988,1991,"G","6-2",183,"November 23, 1964","Indiana University"
"bill allen",1968,1968,"C-F","6-8",205,"","New Mexico State University"
"bob allen",1969,1969,"F","6-9",205,"July 17, 1946","Marshall University"
"jarrett allen",2018,2018,"F-C","6-10",234,"April 21, 1998","University of Texas at Austin"
"jerome allen",1996,1997,"G","6-4",184,"January 28, 1973","University of Pennsylvania"
"kadeem allen",2018,2018,"G","6-3",192,"January 15, 1993","University of Arizona"
"lavoy allen",2012,2017,"F-C","6-9",260,"February 4, 1989","Temple University"
"lucius allen",1970,1979,"G","6-2",175,"September 26, 1947","University of California, Los Angeles"
"malik allen",2002,2011,"F-C","6-10",255,"June 27, 1978","Villanova University"
"randy allen",1989,1990,"F","6-8",220,"January 26, 1965","Florida State University"
"ray allen",1997,2014,"G","6-5",205,"July 20, 1975","University of Connecticut"
"tony allen",2005,2018,"G-F","6-4",213,"January 11, 1982","Butler County Community College, Oklahoma State University"
"willie allen",1972,1972,"F","6-6",230,"February 8, 1949","University of Miami"
"odis allison",1972,1972,"F","6-6",195,"October 2, 1949","University of Nevada, Las Vegas"
"lance allred",2008,2008,"C","6-11",250,"February 2, 1981","University of Utah, Weber State University"
"darrell allums",1981,1981,"F","6-9",220,"September 12, 1958","University of California, Los Angeles"
"morris almond",2008,2012,"G","6-6",225,"February 2, 1985","Rice University"
"derrick alston",1995,1997,"F","6-11",225,"August 20, 1972","Duquesne University"
